filename,Red,Green,Blue,Hue,Saturation,Value,Y,Cr,Cb,L,A,B,Hair_Red,Hair_Green,Hair_Blue
img52_jpg.rf.b2ce7d41cea6fc578934edec7ed270f3.jpg,243.0,221.0,204.0,15.0,42.0,243.0,226.0,140.0,116.0,228.0,133.0,139.0,145.0,118.0,104.0
winter29.jpg,209.0,178.0,163.0,10.0,59.0,209.0,185.0,145.0,115.0,190.0,137.0,140.0,33.0,26.0,23.0
img100_jpg.rf.3930d3f60f0b06d6b12848ae04710ebd.jpg,180.0,135.0,113.0,11.0,100.0,180.0,146.0,152.0,109.0,153.0,142.0,147.0,36.0,22.0,20.0
fall7.jpg,215.0,171.0,151.0,10.0,77.0,215.0,182.0,151.0,111.0,187.0,141.0,144.0,43.0,38.0,37.0
img38_jpg.rf.7092ef5f1206f0f6a5ca39f70438f05e.jpg,205.0,174.0,160.0,10.0,58.0,205.0,181.0,145.0,116.0,186.0,137.0,140.0,83.0,67.0,61.0
img58_jpg.rf.da4b80d19e82af3729212af3cffb6f45.jpg,130.0,92.0,68.0,12.0,130.0,130.0,100.0,149.0,109.0,107.0,140.0,148.0,34.0,28.0,22.0
img43_jpg.rf.102ad6ecfa12ef016088521185717e2c.jpg,178.0,141.0,135.0,36.0,64.0,178.0,151.0,147.0,119.0,157.0,141.0,136.0,61.0,36.0,50.0
img22_jpg.rf.61139d78421d845cec3711fd6228b4f2.jpg,231.0,209.0,197.0,14.0,39.0,231.0,214.0,140.0,118.0,217.0,134.0,137.0,78.0,74.0,83.0
img24_jpg.rf.89cf7bd579ab0321fb37231d33360672.jpg,240.0,228.0,230.0,127.0,14.0,240.0,232.0,134.0,127.0,233.0,133.0,128.0,83.0,83.0,85.0
winter22.jpg,189.0,140.0,118.0,10.0,98.0,189.0,153.0,154.0,109.0,159.0,144.0,147.0,74.0,60.0,54.0
img21_jpg.rf.3c0282a2d5fd3bc531fa115fc7e88b5e.jpg,225.0,194.0,195.0,109.0,37.0,225.0,203.0,144.0,124.0,206.0,139.0,131.0,65.0,63.0,67.0
winter45.jpg,218.0,171.0,150.0,9.0,81.0,218.0,182.0,153.0,110.0,187.0,142.0,145.0,69.0,57.0,54.0
winter27.jpg,196.0,156.0,153.0,48.0,62.0,196.0,167.0,148.0,120.0,172.0,143.0,135.0,25.0,25.0,33.0
img38_jpg.rf.2dd32144e30bb6f448ebb3ad3fa7fb9a.jpg,229.0,201.0,201.0,63.0,38.0,229.0,209.0,142.0,123.0,212.0,138.0,132.0,108.0,96.0,116.0
winter26.jpg,206.0,154.0,146.0,12.0,77.0,206.0,169.0,155.0,115.0,174.0,147.0,140.0,25.0,22.0,23.0
fall36.jpg,201.0,162.0,148.0,11.0,69.0,201.0,172.0,149.0,114.0,178.0,140.0,141.0,92.0,65.0,52.0
img7_jpg.rf.a290e90fe63809329bda6723beb06d5c.jpg,241.0,210.0,185.0,15.0,61.0,241.0,216.0,146.0,110.0,219.0,135.0,145.0,106.0,92.0,87.0
fall48.jpg,141.0,118.0,112.0,10.0,54.0,141.0,124.0,140.0,121.0,131.0,136.0,135.0,52.0,49.0,50.0
fall25.jpg,214.0,179.0,158.0,11.0,69.0,214.0,187.0,147.0,112.0,192.0,138.0,143.0,74.0,54.0,40.0
img32_jpg.rf.4fb8d1863cd4f2ad210152a8f5e135d4.jpg,211.0,171.0,155.0,9.0,73.0,211.0,181.0,149.0,113.0,186.0,141.0,142.0,42.0,30.0,29.0
img89_jpg.rf.557f789ee59488677b40d22b4a84fd12.jpg,248.0,239.0,218.0,25.0,32.0,248.0,239.0,134.0,116.0,241.0,128.0,139.0,124.0,93.0,78.0
img15_jpg.rf.053e48dbda462fb9c7b83add719f494e.jpg,205.0,176.0,132.0,18.0,93.0,205.0,180.0,146.0,101.0,187.0,132.0,155.0,213.0,203.0,155.0
img30_jpg.rf.2664483fc356f8cf450ae8ace8a435e2.jpg,178.0,131.0,120.0,10.0,87.0,178.0,144.0,152.0,114.0,150.0,145.0,141.0,23.0,15.0,16.0
img6_jpg.rf.020b63c3751ab23008e7f9cc6dd81b4b.jpg,225.0,201.0,189.0,10.0,42.0,225.0,207.0,141.0,118.0,210.0,135.0,137.0,73.0,68.0,69.0
img51_jpg.rf.db9945ebc1a12dfbfa95d1d7a09d2469.jpg,240.0,223.0,213.0,15.0,30.0,240.0,227.0,137.0,120.0,229.0,133.0,135.0,97.0,80.0,76.0
img52_jpg.rf.e17987a1ea0af1efc176a569ac01347a.jpg,201.0,165.0,148.0,10.0,69.0,201.0,174.0,147.0,113.0,180.0,139.0,142.0,89.0,62.0,48.0
spring46.jpg,189.0,162.0,152.0,8.0,52.0,189.0,169.0,142.0,118.0,175.0,136.0,137.0,97.0,80.0,71.0
img18_jpg.rf.e2b756f12f15ae73d099ee70d38946b9.jpg,250.0,243.0,241.0,25.0,11.0,251.0,245.0,132.0,126.0,246.0,130.0,130.0,143.0,109.0,105.0
img17_jpg.rf.10cd1bb38b2aa4f34530b9faf04a212b.jpg,211.0,178.0,165.0,23.0,58.0,211.0,187.0,145.0,116.0,192.0,138.0,139.0,120.0,94.0,77.0
img88_jpg.rf.e376de992546fbfc382cff1866fc3f51.jpg,215.0,152.0,109.0,12.0,128.0,215.0,166.0,163.0,96.0,173.0,147.0,160.0,87.0,42.0,34.0
spring11.jpg,210.0,173.0,162.0,8.0,61.0,210.0,183.0,147.0,116.0,188.0,140.0,139.0,37.0,31.0,34.0
img89_jpg.rf.6c63398805b6f83bf1328911daae4370.jpg,217.0,200.0,199.0,52.0,23.0,217.0,205.0,137.0,125.0,209.0,134.0,130.0,107.0,85.0,83.0
img28_jpg.rf.e30edf01b37722b786336bedf572d2fd.jpg,181.0,133.0,118.0,7.0,93.0,181.0,146.0,153.0,113.0,152.0,145.0,143.0,40.0,13.0,11.0
img3_jpg.rf.0a27fbb0b3e2059e2e73ed13ee06f639.jpg,202.0,170.0,153.0,11.0,64.0,202.0,178.0,145.0,114.0,183.0,137.0,141.0,67.0,51.0,49.0
img53_jpg.rf.fe78516d9786f5214e774f95fdb6a718.jpg,165.0,134.0,132.0,47.0,57.0,165.0,143.0,144.0,122.0,149.0,140.0,134.0,87.0,58.0,60.0
img14_jpg.rf.4fd40240a28da88dfc99ece8b8eb8f4b.jpg,167.0,135.0,126.0,14.0,73.0,167.0,143.0,145.0,118.0,150.0,139.0,138.0,37.0,10.0,13.0
img85_jpg.rf.e947d05babfd3bb1929f8ba8cc0b10bc.jpg,229.0,192.0,200.0,162.0,44.0,229.0,204.0,146.0,126.0,206.0,143.0,129.0,89.0,52.0,65.0
img38_jpg.rf.021186873ee9331d81017cefa26038f6.jpg,196.0,165.0,165.0,61.0,50.0,197.0,175.0,144.0,123.0,179.0,140.0,132.0,71.0,59.0,80.0
img21_jpg.rf.3f879a5d8b3fd4b333b5b007a6b21d46.jpg,142.0,110.0,112.0,110.0,63.0,142.0,120.0,144.0,123.0,126.0,141.0,132.0,20.0,18.0,18.0
img58_jpg.rf.c32dfb656486f8c367274816c41bb6b3.jpg,123.0,85.0,60.0,12.0,139.0,123.0,93.0,149.0,109.0,100.0,141.0,149.0,33.0,27.0,20.0
img31_jpg.rf.1174830140b4eca06da3be1a9b1fb76b.jpg,203.0,152.0,127.0,10.0,97.0,203.0,165.0,156.0,107.0,171.0,144.0,149.0,58.0,40.0,30.0
img57_jpg.rf.34dd716b0b0604ea872e7aab551237f3.jpg,182.0,153.0,145.0,8.0,55.0,182.0,161.0,143.0,119.0,166.0,137.0,136.0,23.0,18.0,18.0
img59_jpg.rf.f11c95b2f0e0b2f2a52e12991773c1e0.jpg,251.0,234.0,230.0,42.0,23.0,252.0,239.0,137.0,123.0,240.0,133.0,132.0,156.0,132.0,146.0
winter30.jpg,195.0,154.0,139.0,13.0,78.0,195.0,165.0,150.0,114.0,170.0,141.0,142.0,24.0,21.0,22.0
fall15.jpg,209.0,167.0,147.0,10.0,77.0,209.0,177.0,151.0,111.0,183.0,141.0,144.0,89.0,78.0,76.0
img4_jpg.rf.bea85da0d8f72b0ce325a99b58dbc4bb.jpg,228.0,202.0,192.0,11.0,42.0,228.0,208.0,142.0,119.0,212.0,136.0,136.0,93.0,83.0,80.0
spring10.jpg,218.0,170.0,148.0,9.0,84.0,218.0,182.0,154.0,109.0,187.0,143.0,146.0,61.0,47.0,43.0
img16_jpg.rf.77956e0c1614a768a6490797e58af7bb.jpg,188.0,158.0,122.0,16.0,92.0,188.0,163.0,146.0,105.0,170.0,134.0,151.0,36.0,29.0,22.0
img44_jpg.rf.5b53e7d66d4befed6127449a40152fcc.jpg,246.0,230.0,228.0,75.0,22.0,246.0,234.0,136.0,124.0,236.0,134.0,131.0,192.0,165.0,153.0
spring25.jpg,205.0,173.0,163.0,11.0,53.0,205.0,181.0,145.0,118.0,187.0,138.0,138.0,59.0,57.0,61.0
img26_jpg.rf.9a2fd45c76e1f9065a2ae9d35456f244.jpg,242.0,218.0,208.0,31.0,39.0,242.0,224.0,141.0,119.0,226.0,135.0,136.0,79.0,64.0,74.0
winter19.jpg,203.0,160.0,145.0,8.0,75.0,203.0,171.0,151.0,113.0,176.0,142.0,142.0,27.0,25.0,23.0
img42_jpg.rf.dc0292bc32eeef2b5139a1fe96decfaa.jpg,191.0,144.0,166.0,153.0,67.0,193.0,160.0,150.0,131.0,167.0,148.0,125.0,53.0,29.0,47.0
img10_jpg.rf.fc05d4c57a4ed29821deaa49f5483744.jpg,143.0,112.0,103.0,29.0,82.0,143.0,120.0,144.0,118.0,127.0,139.0,138.0,49.0,32.0,29.0
summer33.jpg,191.0,166.0,151.0,11.0,55.0,191.0,172.0,142.0,116.0,178.0,135.0,139.0,33.0,31.0,32.0
img103_jpg.rf.f52d48a4f0f9f59534fc9e7f2bee257a.jpg,146.0,106.0,92.0,8.0,98.0,146.0,116.0,149.0,114.0,123.0,142.0,142.0,23.0,11.0,9.0
img90_jpg.rf.d38abfe6993ae4267d8526f6329320aa.jpg,226.0,172.0,136.0,12.0,105.0,226.0,184.0,158.0,101.0,190.0,143.0,155.0,108.0,56.0,30.0
spring5.jpg,227.0,167.0,128.0,12.0,115.0,227.0,181.0,161.0,98.0,187.0,146.0,157.0,73.0,49.0,39.0
img34_jpg.rf.9efae9f19c0241c13cbae050daa1541a.jpg,218.0,170.0,143.0,11.0,91.0,218.0,181.0,154.0,106.0,187.0,142.0,149.0,105.0,70.0,61.0
img15_jpg.rf.48964bd10cf2c1953de3246b555e312e.jpg,236.0,207.0,162.0,18.0,80.0,236.0,210.0,146.0,101.0,216.0,132.0,154.0,243.0,234.0,186.0
