filename,Red,Green,Blue,Hue,Saturation,Value,Y,Cr,Cb,L,A,B,Hair_Red,Hair_Green,Hair_Blue,Eye_Red,Eye_Green,Eye_Blue,New Red,New Green,New Blue,label
fall69_flip_horizontal.png,167.0,123.0,105.0,9.0,99.0,167.0,134.0,152.0,112.0,140.0,143.0,144.0,28.0,22.0,22.0,92.0,70.0,65.0,238.0,184.0,166.0,2
fall83_flip_horizontal.png,156.0,102.0,79.0,9.0,131.0,156.0,116.0,157.0,107.0,123.0,147.0,150.0,88.0,49.0,29.0,78.0,47.0,38.0,213.0,155.0,129.0,2
fall70_flip_horizontal.png,158.0,125.0,112.0,8.0,78.0,158.0,133.0,146.0,116.0,139.0,139.0,140.0,30.0,23.0,21.0,82.0,60.0,57.0,214.0,175.0,168.0,2
fall68_flip_horizontal.png,155.0,121.0,115.0,23.0,76.0,155.0,131.0,145.0,119.0,137.0,140.0,137.0,41.0,28.0,28.0,67.0,47.0,44.0,210.0,180.0,183.0,2
fall71_flip_horizontal.png,160.0,109.0,88.0,9.0,119.0,160.0,122.0,155.0,109.0,129.0,146.0,148.0,25.0,21.0,12.0,67.0,39.0,32.0,211.0,159.0,137.0,2
fall82_flip_horizontal.png,167.0,137.0,120.0,26.0,73.0,167.0,144.0,144.0,114.0,150.0,137.0,141.0,20.0,14.0,16.0,49.0,39.0,39.0,236.0,206.0,178.0,2
fall81_flip_horizontal.png,196.0,157.0,138.0,10.0,79.0,196.0,166.0,149.0,112.0,172.0,140.0,143.0,34.0,22.0,17.0,90.0,75.0,70.0,241.0,211.0,198.0,2
fall72_flip_horizontal.png,185.0,125.0,108.0,7.0,110.0,185.0,141.0,159.0,109.0,148.0,149.0,147.0,23.0,13.0,11.0,75.0,45.0,40.0,231.0,167.0,152.0,2
fall73_flip_horizontal.png,212.0,159.0,132.0,10.0,101.0,212.0,172.0,157.0,105.0,178.0,144.0,150.0,140.0,95.0,68.0,84.0,51.0,38.0,250.0,211.0,185.0,2
fall80_flip_horizontal.png,182.0,128.0,121.0,13.0,89.0,182.0,144.0,155.0,115.0,149.0,148.0,140.0,39.0,26.0,28.0,90.0,58.0,60.0,237.0,181.0,179.0,2
fall86_flip_horizontal.png,204.0,142.0,114.0,10.0,114.0,204.0,158.0,161.0,103.0,165.0,148.0,153.0,182.0,146.0,108.0,113.0,76.0,70.0,223.0,175.0,154.0,2
fall75_flip_horizontal.png,176.0,123.0,113.0,14.0,96.0,176.0,138.0,155.0,114.0,144.0,147.0,142.0,31.0,21.0,21.0,71.0,41.0,39.0,221.0,165.0,164.0,2
fall74_flip_horizontal.png,189.0,149.0,140.0,17.0,69.0,189.0,160.0,149.0,117.0,165.0,142.0,139.0,48.0,42.0,45.0,74.0,56.0,58.0,240.0,209.0,203.0,2
fall87_flip_horizontal.png,165.0,120.0,95.0,11.0,110.0,165.0,131.0,153.0,108.0,138.0,142.0,149.0,45.0,30.0,24.0,71.0,51.0,44.0,219.0,166.0,138.0,2
fall84_flip_horizontal.png,201.0,168.0,141.0,14.0,84.0,201.0,174.0,147.0,109.0,180.0,136.0,147.0,126.0,97.0,62.0,83.0,64.0,50.0,249.0,233.0,214.0,2
fall77_flip_horizontal.png,172.0,137.0,118.0,17.0,85.0,174.0,145.0,147.0,113.0,152.0,139.0,143.0,59.0,53.0,45.0,77.0,61.0,54.0,217.0,185.0,171.0,2
fall76_flip_horizontal.png,196.0,141.0,122.0,8.0,100.0,196.0,155.0,157.0,109.0,161.0,147.0,146.0,28.0,20.0,19.0,83.0,48.0,41.0,246.0,187.0,170.0,2
fall85_flip_horizontal.png,198.0,136.0,102.0,11.0,126.0,198.0,150.0,162.0,101.0,158.0,148.0,156.0,195.0,154.0,113.0,111.0,60.0,47.0,229.0,178.0,149.0,2
