filename,Red,Green,Blue,Hue,Saturation,Value,Y,Cr,Cb,L,A,B,Hair_Red,Hair_Green,Hair_Blue,Eye_Red,Eye_Green,Eye_Blue,New Red,New Green,New Blue,label
winter67.png,139.0,101.0,80.0,11.0,115.0,139.0,110.0,149.0,111.0,116.0,141.0,146.0,35.0,24.0,16.0,69.0,43.0,32.0,207.0,165.0,139.0,3
winter66.png,203.0,167.0,150.0,10.0,71.0,203.0,176.0,148.0,113.0,181.0,139.0,142.0,25.0,22.0,23.0,72.0,59.0,56.0,239.0,211.0,194.0,3
winter72.png,177.0,124.0,103.0,9.0,110.0,177.0,138.0,156.0,108.0,145.0,146.0,148.0,49.0,35.0,28.0,91.0,63.0,54.0,225.0,165.0,141.0,3
winter64.png,194.0,161.0,146.0,10.0,69.0,194.0,169.0,145.0,115.0,175.0,138.0,141.0,17.0,16.0,17.0,63.0,44.0,40.0,229.0,208.0,198.0,3
winter70.png,163.0,134.0,118.0,12.0,75.0,163.0,141.0,144.0,115.0,148.0,137.0,141.0,34.0,27.0,25.0,80.0,63.0,62.0,213.0,186.0,174.0,3
winter58.png,182.0,153.0,148.0,49.0,58.0,182.0,161.0,143.0,121.0,166.0,138.0,135.0,20.0,20.0,23.0,57.0,45.0,47.0,246.0,229.0,231.0,3
winter59.png,185.0,154.0,144.0,11.0,63.0,185.0,162.0,144.0,118.0,167.0,138.0,138.0,48.0,45.0,54.0,57.0,44.0,42.0,228.0,212.0,210.0,3
winter71.png,139.0,93.0,70.0,10.0,127.0,139.0,104.0,153.0,109.0,112.0,144.0,149.0,26.0,22.0,19.0,68.0,48.0,43.0,169.0,121.0,96.0,3
winter65.png,178.0,149.0,136.0,11.0,63.0,178.0,156.0,143.0,117.0,162.0,137.0,139.0,31.0,32.0,32.0,78.0,66.0,67.0,203.0,187.0,182.0,3
winter61.png,206.0,169.0,154.0,9.0,69.0,206.0,178.0,148.0,114.0,183.0,140.0,141.0,35.0,26.0,25.0,105.0,86.0,82.0,238.0,206.0,199.0,3
winter60.png,197.0,153.0,146.0,6.0,70.0,197.0,165.0,151.0,117.0,171.0,143.0,138.0,29.0,24.0,24.0,88.0,63.0,62.0,226.0,188.0,183.0,3
winter72_flip_horizontal.png,178.0,125.0,103.0,9.0,109.0,178.0,138.0,156.0,108.0,145.0,146.0,148.0,49.0,35.0,29.0,89.0,61.0,52.0,224.0,167.0,144.0,3
winter71_flip_horizontal.png,140.0,93.0,70.0,10.0,128.0,140.0,104.0,153.0,109.0,112.0,144.0,149.0,26.0,22.0,19.0,69.0,47.0,42.0,172.0,122.0,94.0,3
winter62.png,210.0,178.0,168.0,8.0,55.0,210.0,187.0,145.0,117.0,191.0,138.0,138.0,67.0,52.0,51.0,116.0,92.0,92.0,243.0,220.0,215.0,3
winter68_flip_horizontal.png,165.0,125.0,111.0,9.0,86.0,165.0,135.0,149.0,114.0,142.0,142.0,142.0,27.0,19.0,18.0,71.0,53.0,49.0,204.0,165.0,152.0,3
winter70_flip_horizontal.png,164.0,134.0,118.0,12.0,75.0,164.0,141.0,144.0,115.0,148.0,137.0,141.0,34.0,26.0,24.0,81.0,63.0,63.0,213.0,186.0,174.0,3
winter63.png,191.0,141.0,118.0,9.0,102.0,191.0,153.0,155.0,108.0,160.0,144.0,148.0,25.0,18.0,15.0,120.0,84.0,72.0,229.0,190.0,168.0,3
winter69_flip_horizontal.png,153.0,107.0,87.0,17.0,114.0,153.0,118.0,153.0,110.0,125.0,144.0,147.0,60.0,32.0,19.0,63.0,40.0,37.0,208.0,156.0,129.0,3
winter64_flip_horizontal.png,194.0,161.0,146.0,10.0,69.0,194.0,169.0,146.0,115.0,175.0,138.0,141.0,17.0,16.0,17.0,67.0,47.0,43.0,229.0,207.0,198.0,3
winter65_flip_horizontal.png,178.0,149.0,136.0,10.0,64.0,178.0,156.0,144.0,116.0,163.0,137.0,139.0,29.0,30.0,31.0,80.0,68.0,69.0,203.0,187.0,182.0,3
winter66_flip_horizontal.png,203.0,167.0,149.0,10.0,71.0,203.0,176.0,148.0,113.0,181.0,139.0,142.0,24.0,21.0,22.0,78.0,63.0,59.0,239.0,211.0,194.0,3
winter67_flip_horizontal.png,139.0,100.0,79.0,10.0,116.0,139.0,109.0,149.0,111.0,116.0,141.0,146.0,34.0,23.0,15.0,75.0,47.0,36.0,207.0,165.0,139.0,3
winter61_flip_horizontal.png,206.0,168.0,153.0,9.0,68.0,206.0,178.0,148.0,114.0,183.0,140.0,141.0,35.0,26.0,24.0,99.0,81.0,79.0,238.0,206.0,199.0,3
winter60_flip_horizontal.png,198.0,153.0,146.0,6.0,70.0,198.0,166.0,151.0,117.0,171.0,143.0,139.0,26.0,22.0,22.0,86.0,61.0,61.0,226.0,188.0,183.0,3
winter63_flip_horizontal.png,191.0,141.0,118.0,9.0,102.0,191.0,153.0,155.0,108.0,159.0,144.0,148.0,26.0,17.0,15.0,107.0,75.0,64.0,229.0,190.0,168.0,3
winter62_flip_horizontal.png,211.0,179.0,168.0,8.0,55.0,211.0,187.0,145.0,117.0,192.0,138.0,138.0,67.0,52.0,51.0,116.0,93.0,93.0,243.0,220.0,215.0,3
